"Name","Version","Publisher","Source","Linux Availability","Best Linux Alternative","Alternative Competency","Pricing model","Must be included on Linux"
"calibre","9.5.0","Kovid Goyal","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"Camtasia 2024","24.0.2.2656","TechSmith Corporation","Win32","Not Available; Native Alternative","OBS Studio (capture) + Kdenlive / Shotcut (edit); or ScreenPal (web)","85%","Free (FOSS)","yes"
"Cisco Jabber","14.3.0.58392","Cisco Systems, Inc","Win32","Not Available; Available as WebApp","Cisco Webex (native Linux) or Jami / Linphone (FOSS SIP)","85%","Freemium","no"
"Claude","1.8089.1.0","""Anthropic","Store","Available as WebApp","claude.ai (web/PWA); local LLMs via Ollama / Jan","95%","Freemium","no"
"CMake","4.3.0","Kitware","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"Copilot","148.0.3967.96","Microsoft Corporation","Win32","Available as WebApp","copilot.microsoft.com (web/PWA); local LLMs via Ollama","95%","Freemium","no"
"DBeaverUltimate 25.2.0","25.2.0","DBeaver Corp","Win32","Available on Linux","","100%","Freemium","yes"
"Discord","1.0.9237","Discord Inc.","Win32","Available on Linux","","100%","Free","yes"
"Docker Desktop","4.70.0","Docker Inc.","Win32","Available on Linux","Docker Desktop for Linux, or native Docker Engine / Podman (no VM needed)","120%","Free (FOSS)","yes"
"Dropbox","254.4.2518","Dropbox, Inc.","Win32","Available on Linux","","100%","Freemium","yes"
"Git","2.53.0","The Git Development Community","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"GitHub Desktop","3.5.12","GitHub, Inc.","Win32","Not Available; Native Alternative","GitKraken, or the ""github-desktop-plus"" community fork; gitg / Git Cola for FOSS","85%","Freemium","yes"
"GnuWin32: Grep-2.5.4","2.5.4","GnuWin32","Win32","Available on Linux","GNU grep is pre-installed","100%","Free (FOSS)","yes"
"Google Chrome","149.0.7827.53","Google LLC","Win32","Available on Linux","","100%","Free","yes"
"Google Drive","126.0.5.0","Google LLC","Win32","Native Alternative; Available as WebApp","Insync (paid GUI) or rclone (free CLI); GNOME Online Accounts for basic mounting","85%","Free (FOSS)","yes"
"Grammarly for Windows","1.2.220.1800","Grammarly","Win32","Not Available; Native Alternative; Available as WebApp","LanguageTool (FOSS desktop + browser); or Grammarly browser extension / web","80%","Freemium","yes"
"Gurobi 13.0.1","13.0.1.0","Gurobi Optimization, LLC","Win32","Available on Linux","Gurobi runs natively on Linux (commercial; free academic license); free alternative: HiGHS, SCIP, Google OR-Tools or GLPK","100%","Paid","yes"
"Hotspot Shield 12.15.0","12.15.0.12306","Pango Inc.","Win32","Available on Linux; Native Alternative","Hotspot Shield has an Ubuntu/Debian client; stronger FOSS option: Proton VPN (or Mullvad)","105%","Freemium","yes"
"Hotspot Shield VPN","2.14.13.0","40A2CDA2-D0AF-435F-A279-6C44E4FF8428","Store","Available on Linux; Native Alternative","Hotspot Shield has an Ubuntu/Debian client; stronger FOSS option: Proton VPN (or Mullvad)","105%","Freemium","no"
"Internet Download Manager","6.42.58","Tonec Inc.","Win32","Not Available; Native Alternative","uGet (closest match) or Free Download Manager / JDownloader 2 / XDM; aria2 for CLI","85%","Free (FOSS)","yes"
"Java 8 Update 481","8.0.4810.10","Oracle Corporation","Win32","Available on Linux; Native Alternative","OpenJDK (e.g. Eclipse Temurin / ""openjdk-*-jdk"" packages)","100%","Free (FOSS)","yes"
"K-Lite Mega Codec Pack 19.4.5","19.4.5","KLCP","Win32","Not Available","Not needed on Linux â€” VLC/mpv + GStreamer/ffmpeg cover all codecs","100%","Free (FOSS)","no"
"KMPlayer","4.2.3.35","PandoraTV","Win32","Not Available; Native Alternative","VLC or mpv","150%","Free (FOSS)","yes"
"Legion Arena","1.3.1.1","Lenovo Group Ltd.","Win32","Not Available; Native Alternative","Steam / Lutris / Heroic for games; LenovoLegionLinux for hardware control","60%","Free","no"
"Lenovo Go Central","1.2.4.10091","Lenovo","Win32","Not Available","Vendor utility â€” usually no Linux app needed; Solaar for Logitech-style combos","20%","Free (FOSS)","no"
"Lenovo Professional Wireless Rechargeable Combo","1.0.0.6","Lenovo","Win32","Not Available","Vendor utility â€” usually no Linux app needed; Solaar for Logitech-style combos","20%","Free (FOSS)","no"
"Lenovo Vantage","10.2603.12.0","8F32EFB2-B494-4AEC-A27C-4B0736252363","Store","Not Available; Native Alternative","No vendor app; use fwupd (firmware) and LenovoLegionLinux for Legion hardware","40%","Free (FOSS)","no"
"Lenovo Vantage Service","4.2601.31.0","Lenovo Group Ltd.","Win32","Not Available; Native Alternative","No vendor app; use fwupd (firmware) and LenovoLegionLinux for Legion hardware","40%","Free (FOSS)","no"
"Lightshot-5.5.0.7","5.5.0.7","Skillbrains","Win32","Not Available; Native Alternative","Flameshot (or Spectacle / Ksnip)","115%","Free (FOSS)","yes"
"Longman Dictionary of Contemporary English 5th Edition",,,"Win32","Not Available; Native Alternative","GoldenDict / GoldenDict-ng (can load the Longman dictionary files)","85%","Free (FOSS)","yes"
"Microsoft .NET SDK 10.0.203 (x64) from Visual Studio","40.11.50261","Microsoft Corporation","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"Microsoft 365 - en-us","16.0.20026.20048","Microsoft Corporation","Win32","Native Alternative; Available as WebApp; Windows Emulator (Wine/Proton)","Office for the web (office.com); or LibreOffice / OnlyOffice / WPS Office (native)","78%","Free (FOSS)","yes"
"Microsoft 365 - fa-ir","16.0.20026.20048","Microsoft Corporation","Win32","Native Alternative; Available as WebApp; Windows Emulator (Wine/Proton)","Office for the web (office.com); or LibreOffice / OnlyOffice / WPS Office (native)","78%","Free (FOSS)","yes"
"Microsoft 365 Apps for enterprise - en-us","16.0.20026.20048","Microsoft Corporation","Win32","Native Alternative; Available as WebApp; Windows Emulator (Wine/Proton)","Office for the web (office.com); or LibreOffice / OnlyOffice / WPS Office (native)","78%","Free (FOSS)","yes"
"Microsoft 365 Apps for enterprise - fa-ir","16.0.20026.20048","Microsoft Corporation","Win32","Native Alternative; Available as WebApp; Windows Emulator (Wine/Proton)","Office for the web (office.com); or LibreOffice / OnlyOffice / WPS Office (native)","78%","Free (FOSS)","yes"
"Microsoft Edge","148.0.3967.96","Microsoft Corporation","Win32","Available on Linux","","98%","Free","yes"
"Microsoft Office Hub","19.2605.59121.0","Microsoft Corporation","Store","Native Alternative; Available as WebApp; Windows Emulator (Wine/Proton)","Office for the web (office.com); or LibreOffice / OnlyOffice / WPS Office (native)","78%","Free (FOSS)","yes"
"Microsoft OneDrive","26.084.0504.0007","Microsoft Corporation","Win32","Native Alternative; Available as WebApp","abraunegg ""onedrive"" client (free, full sync) or Insync / rclone","88%","Free (FOSS)","yes"
"Microsoft To Do","2.175.6901.0","Microsoft Corporation","Store","Native Alternative; Available as WebApp","to-do.microsoft.com (web); or Tasks.org / Planify / Super Productivity","90%","Free (FOSS)","yes"
"Microsoft Visual Studio Code","1.123.0","Microsoft Corporation","Win32","Available on Linux","","100%","Free","yes"
"MiKTeX","26.1","MiKTeX.org","Win32","Available on Linux; Native Alternative","MiKTeX has a Linux build, or use TeX Live (the Linux standard)","100%","Free (FOSS)","yes"
"MobaXterm","25.4.0.5418","Mobatek","Win32","Native Alternative; Windows Emulator (Wine/Proton)","Built-in terminal + OpenSSH; Remmina (RDP/VNC/SSH), Tabby, or Termius","90%","Free (FOSS)","yes"
"Mozilla Firefox (x64 en-US)","151.0.3","Mozilla","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"MS Teams","26134.1702.4747.7366","Microsoft Corporation","Store","Native Alternative; Available as WebApp","Teams PWA via Edge/Chrome (Microsoft-recommended); or the unofficial ""teams-for-linux"" app","85%","Freemium","yes"
"Nearby Share","1.0.2600.1","Google LLC","Store","Native Alternative","LocalSend, or ""Packet"" / RQuickShare (Quick Share for Linux)","105%","Free (FOSS)","yes"
"ninja","1.13.2","ninja-build","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"Node.js","24.15.0","Node.js Foundation","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"Notepad++","8.9.3","Notepad++ Team","Win32","Native Alternative; Windows Emulator (Wine/Proton)","Notepadqq, Geany, Kate or VS Code; Notepad++ also runs well under Wine","95%","Free (FOSS)","yes"
"oCam version 550.0","550.0","http://ohsoft.net/","Win32","Not Available; Native Alternative","OBS Studio or SimpleScreenRecorder (record); Flameshot (stills)","110%","Free (FOSS)","yes"
"OpenSSH","8.9.1.0","Microsoft Corporation","Win32","Available on Linux","OpenSSH client/server is standard on Linux","100%","Free (FOSS)","yes"
"OpenSSL 3.3.0","3.3.0","OpenSSL Win32 Installer Team","Win32","Available on Linux","OpenSSL is pre-installed","100%","Free (FOSS)","yes"
"OpenVPN Connect","3.7.3","OpenVPN Inc.","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"Outlook For Windows","1.2026.512.400","Microsoft Corporation","Store","Native Alternative; Available as WebApp","Thunderbird or Evolution (native); outlook.com (web)","88%","Free (FOSS)","yes"
"Paint","11.2603.251.0","Microsoft Corporation","Store","Native Alternative","GIMP, Krita, Pinta, or Drawing","200%","Free (FOSS)","yes"
"Pandoc 3.9","3.9","John MacFarlane","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"PaperCut Print Deploy Client","1.10.2699","PaperCut Software International Pty Ltd","Win32","Available on Linux","Install the NATIVE PaperCut client for Linux (Print Deploy / User Client) from your PaperCut server — hard-coded inclusion, do NOT substitute CUPS","95%","Paid","yes"
"Parsec","150-103a","Parsec Cloud Inc.","Win32","Available on Linux","","95%","Freemium","yes"
"pgAdmin 4 version 9.10","9.10","The pgAdmin Development Team","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"pgNow","1.0.17","Red Gate Software Limited","Win32","Native Alternative","pgAdmin 4, DBeaver, or the psql CLI","95%","Free (FOSS)","yes"
"Photos","2026.11050.1001.0","Microsoft Corporation","Store","Native Alternative","Shotwell, gThumb, GNOME Loupe, or digiKam","100%","Free (FOSS)","yes"
"Power Automate","1.0.2094.0","Microsoft Corporation","Store","Native Alternative","No Linux client; use cron / systemd timers, n8n, or AutoKey for desktop macros","65%","Free (FOSS)","no"
"Power Shell","7.6.2.0","Microsoft Corporation","Store","Available on Linux","","100%","Free (FOSS)","no"
"PowerShell 7.5.3.0-x64","7.5.3.0","Microsoft Corporation","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"PowerShell 7-x64","7.6.2.0","Microsoft Corporation","Win32","Available on Linux","","100%","Free (FOSS)","no"
"PowerToys","0.99.1","Microsoft Corporation","Win32","Not Available; Native Alternative","Text Extractor: Frog (tenderowl.com/frog - shortcut-triggered OCR, select->extract, FOSS). Keyboard accents: ibus-typing-booster or Compose key (built-in). Color Picker: gpick / KColorChooser (shortcut->click to pick hex). File Locksmith: fuser / lsof (CLI) or GNOME File Locksmith. Find My Mouse: GNOME ""Show Pointer Location"" or KDE ""Track Mouse"". Image Resizer: right-click in Nautilus + nautilus-image-converter, or ImageMagick `convert`. Mouse Without Borders: Barrier / Input Leap (software KVM, FOSS). ZoomIt: KMag / Zoom (GNOME) or screen-recorder. Shortcut Guide: GNOME Super key overlay or KDE shortcuts cheat sheet","95%","Free (FOSS)","yes"
"Proxifier version 4.12","4.12","VentoByte SL","Win32","Not Available; Native Alternative","proxychains-ng or redsocks","75%","Free (FOSS)","yes"
"Psiphon Conduit","1.1.2.0","D3FB399C-50BF-4A4E-9C6C-D7BB8066705A","Store","Native Alternative","Proton VPN, or Tor Browser / obfs4 bridges","90%","Freemium","yes"
"PuTTY release 0.83","0.83.0.0","Simon Tatham","Win32","Available on Linux","PuTTY is packaged for Linux, though native `ssh` is the norm","100%","Free (FOSS)","yes"
"Python 3.12.10","3.12.10150.0","Python Software Foundation","Win32","Available on Linux","python3 is pre-installed; manage versions with pyenv","105%","Free (FOSS)","no"
"Python 3.14.3","3.14-64","Python Software Foundation","Win32","Available on Linux","python3 is pre-installed; manage versions with pyenv","105%","Free (FOSS)","no"
"Python 3.14.5","3.14.5150.0","Python Software Foundation","Win32","Available on Linux","python3 is pre-installed; manage versions with pyenv","105%","Free (FOSS)","no"
"Python Launcher","3.14.5150.0","Python Software Foundation","Win32","Available on Linux","python3 is pre-installed; manage versions with pyenv","105%","Free (FOSS)","yes"
"Python Manager","26.2.240.0","Python Software Foundation","Store","Available on Linux","python3 is pre-installed; manage versions with pyenv","105%","Free (FOSS)","no"
"Quick Share","1.0.2600.1","Google LLC","Win32","Native Alternative","LocalSend, or ""Packet"" / RQuickShare (brings Google Quick Share to Linux)","105%","Free (FOSS)","yes"
"QUICKfind server v1.1",,"IDM","Win32","Not Available; Windows Emulator (Wine/Proton)","GoldenDict / a StarDict reader; QUICKfind may run under Wine","50%","Free (FOSS)","no"
"R for Windows 4.5.2","4.5.2","R Core Team","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"RealVNC Viewer 7.15.0","7.15.0.17","RealVNC","Win32","Available on Linux","","95%","Freemium","yes"
"Reverso","2.16.1.935","Reverso","Win32","Native Alternative; Available as WebApp","reverso.net (web); GoldenDict for offline dictionary/translation","80%","Freemium","yes"
"RStudio","2026.01.0+392","Posit Software","Win32","Available on Linux","","100%","Free (FOSS)","yes"
"Rufus","4.14.2377.0","7AC86D13-3E5A-491A-ADD5-80095C212740","Store","Not Available; Native Alternative","GNOME Disks, balenaEtcher, Ventoy, Fedora Media Writer, or `dd`","90%","Free (FOSS)","yes"
"Samsung Account","1.26.1090.0","520D4CDF-A287-4423-AB88-D88CCF7E866D","Store","Not Available; Available as WebApp","account.samsung.com (web)","70%","Free","no"
"Samsung Magician","9.0.0.910","Samsung Electronics","Win32","Not Available; Native Alternative","smartmontools (SMART), nvme-cli, fwupd; Samsung Magician DC (bootable) for firmware","55%","Free (FOSS)","no"
"Snoopy","3.21.8","BTU-Cottbus","Win32","Needs Review","","","","no"
"Sound Recorder","11.2512.0.0","Microsoft Corporation","Store","Native Alternative","GNOME Sound Recorder or Audacity","100%","Free (FOSS)","yes"
"SpotPlayer","5.3.2.32",,"Win32","Available on Linux","SpotPlayer has an Ubuntu/Linux build at spotplayer.ir","95%","Free","yes"
"SQL Server Management Studio 22","22.5.2","Microsoft Corporation","Win32","Not Available; Native Alternative; Linux Docker","DBeaver or VS Code ""mssql"" extension as the client; run SQL Server itself via Docker (mcr.microsoft.com/mssql/server)","80%","Free (FOSS)","yes"
"Sticky Notes","6.1.4.0","Microsoft Corporation","Store","Native Alternative","Sticky (GNOME), KNotes, or Joplin","95%","Free (FOSS)","yes"
"Strawberry Perl","5.42.1","strawberryperl.com project","Win32","Available on Linux","Perl is pre-installed; add modules with cpanminus","100%","Free (FOSS)","yes"
"Ubuntu (WSL)","2404.1.68.0","23596F84-C3EA-4CD8-A7DF-550DCE37BCD0","Store","Available on Linux","You are already on Linux â€” WSL is not needed","100%","Free (FOSS)","yes"
"Visual Studio Build Tools 2022","17.14.32","Microsoft Corporation","Win32","Native Alternative",".NET SDK (`dotnet` CLI), MSBuild via Mono, or build with gcc/clang + make/CMake","95%","Free","no"
"Visual Studio Build Tools 2026 (2)","18.5.3","Microsoft Corporation","Win32","Native Alternative",".NET SDK (`dotnet` CLI), MSBuild via Mono, or build with gcc/clang + make/CMake","95%","Free","yes"
"Visual Studio Community 2026","18.5.3","Microsoft Corporation","Win32","Not Available; Native Alternative","VS Code or JetBrains Rider + .NET SDK CLI (all native on Linux)","85%","Freemium","yes"
"VMware Workstation","26.0.0","VMware, Inc.","Win32","Available on Linux","VMware Workstation Pro for Linux (now free) â€” or KVM/virt-manager, VirtualBox","100%","Free","yes"
"Weather","4.54.63040.0","Microsoft Corporation","Store","Native Alternative; Available as WebApp","GNOME Weather / KWeather (native); or any weather website","100%","Free (FOSS)","yes"
"Whats App Desktop","2.2620.102.0","24803D75-212C-471A-BC57-9EF86AB91435","Store","Native Alternative; Available as WebApp","web.whatsapp.com (PWA); native clients ZapZap or Whatsie","90%","Free","yes"
"Windows Calculator","11.2508.4.0","Microsoft Corporation","Store","Available on Linux","GNOME Calculator / KCalc (pre-installed)","100%","Free (FOSS)","yes"
"Windows Camera","2025.2510.2.0","Microsoft Corporation","Store","Native Alternative","Cheese, GNOME Snapshot, or Kamoso","95%","Free (FOSS)","yes"
"Windows Notepad","11.2604.5.0","Microsoft Corporation","Store","Native Alternative","GNOME Text Editor / gedit / Kate (pre-installed)","110%","Free (FOSS)","yes"
"Windows Store","22604.1401.8.0","Microsoft Corporation","Store","Native Alternative","Your distro's software center (GNOME Software / KDE Discover) + Flathub","100%","Free (FOSS)","yes"
"Windows Terminal","1.24.11321.0","Microsoft Corporation","Store","Native Alternative","GNOME Console/Terminal, Konsole, Tabby, or Ghostty (built-in on Linux)","110%","Free (FOSS)","yes"
"WinRAR 7.13","7.13.0","win.rar GmbH","Win32","Not Available; Native Alternative","p7zip / PeaZip / Ark (GUI); `rar`/`unrar` CLI also available","95%","Free (FOSS)","yes"
"wkhtmltox 0.12.6-1",,,"Win32","Available on Linux","","100%","Free (FOSS)","yes"
"Zoom Workplace","6.7.2 (26346)","Zoom Communications, Inc.","Win32","Available on Linux","","98%","Freemium","yes"
"Zune Music","11.2604.9.0","Microsoft Corporation","Store","Native Alternative","Rhythmbox, Lollypop, Elisa, or VLC","110%","Free (FOSS)","yes"
