"Category","ConfigKey","WindowsValue","LinuxCommand","Notes","Phase","Scope"
"Power","sleep_dc","0","","GNOME power sleep-inactive-battery-timeout (s)","pre","System"
"Appearance","night_light","false","","GNOME org.gnome.settings-daemon.plugins.color night-light-enabled","pre","User"
"DefaultApps","default_browser","edge","","Linux: xdg-settings set default-web-browser","post","User"
"Hosts","host_entry","0.0.0.0	asc.iobit.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","0.0.0.0	93.184.220.29:80","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","0.0.0.0	www.asc55.iobit.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","0.0.0.0	idb.iobit.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","0.0.0.0	is360.iobit.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","0.0.0.0	pf.iobit.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","0.0.0.0	98.129.229.186","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","0.0.0.0	www.iana.org","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   lm.licenses.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   lmlicenses.wip4.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   lm-prd-da1.licenses.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   activate.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   activate.wip4.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   practivate.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   practivate-da1.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   na1r.services.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   hlrcv.stage.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   uds.licenses.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   license.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   helpexamples.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   activate-sea.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   activate-sjc0.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   ereg.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   activate.wip3.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   ereg.wip3.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   wwis-dubc1-vip60.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   genuine.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   prod.adobegenuine.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   lm.licenses.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   lmlicenses.wip4.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   lm-prd-da1.licenses.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   activate.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   activate.wip4.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   practivate.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   practivate-da1.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   na1r.services.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   hlrcv.stage.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   uds.licenses.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   license.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   helpexamples.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   activate-sea.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   activate-sjc0.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   ereg.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   activate.wip3.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   ereg.wip3.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   wwis-dubc1-vip60.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   genuine.adobe.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1   prod.adobegenuine.com","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","10.112.60.14 host.docker.internal","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","10.112.60.14 gateway.docker.internal","","Linux: merge into /etc/hosts","pre","System"
"Hosts","host_entry","127.0.0.1 kubernetes.docker.internal","","Linux: merge into /etc/hosts","pre","System"
"Printers","printer","LU-card-printer|http://127.0.0.1:9177/ipp/webprint.leidenuniv.nl_9164/4c552d636172642d7072696e746572/printers/LU-card-printer","","Linux: CUPS lpadmin (best-effort)","pre","System"
"NetConfig","static_net","VMware Network Adapter VMnet1|192.168.88.1||","","Linux: configure via NetworkManager (manual note)","pre","System"
"NetConfig","static_net","VMware Network Adapter VMnet11|192.168.171.1||","","Linux: configure via NetworkManager (manual note)","pre","System"
"NetConfig","static_net","VMware Network Adapter VMnet12|172.23.124.1||","","Linux: configure via NetworkManager (manual note)","pre","System"
"NetConfig","static_net","vEthernet (Default Switch)|172.26.0.1||","","Linux: configure via NetworkManager (manual note)","pre","System"
"NetConfig","static_net","vEthernet (WSL (Hyper-V firewall))|172.18.80.1||","","Linux: configure via NetworkManager (manual note)","pre","System"
"NetConfig","static_net","Wi-Fi 2||10.112.63.254 1.1.1.1|10.112.10.254,10.112.11.254","","Linux: configure via NetworkManager (manual note)","pre","System"
"Wifi","wifi_profile","eduroam|wpa||none","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","somenet|open||none","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","V.momen|wpa|U2FsdGVkX1/mo9yT8lmjYrUGy2K1mtquIlvMZYBQUjA=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","Tbilisi Loves You|open||none","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","Tbilisi Airport Free|open||none","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","Simorgh-WiFi|open||none","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","Shatel|wpa|U2FsdGVkX19cEIkGIQHf5DKojr3zi100hCoepxM5woM=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","SHAW-48EE|wpa|U2FsdGVkX18OVygtH6kzda2jtqrQcEyWvLvzLYoZ+io=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","Redmi Note 10 Pro Max|wpa|U2FsdGVkX1+T0qVISfQ8Qd8ZY+TsiJvPy6L+GYbqc2o=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","Parsway|wpa|U2FsdGVkX1+xohMXBcZi8IgLO7hKa1h8i/zsfRXm81U=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","NZT9930134C|wpa|U2FsdGVkX195/Gg8WhbVdHmh6titApq1PIfl8yPuzfk=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","Mofid-GoHyper!|open||none","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","Jobvision-WiFi|wpa|U2FsdGVkX1/K2D3pzM2f0L34ACcrQPEQS5pgYBF+XBU=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","JobVision_DLink|wpa|U2FsdGVkX1/r3LOifkXivv6GB2N0Vj1lK8jBEq45OP8=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","JobVision-3rd|wpa|U2FsdGVkX19y/YBZbIMFNxSTEyLG1CsMK/EJVyNzmsQ=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","JobVision|wpa|U2FsdGVkX1+sWo7bFERymTdmPv3P+iRrcF2BITjtC/4=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","Galaxy A51|wpa|U2FsdGVkX19Uw0j4bUUhJWYsaxNiOCXP93baO/GogAQ=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","Fatemeh's Galaxy A71|wpa|U2FsdGVkX18spGs6pUDAk/0p9STRHCBRXkgcbr0KLiM=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","DivorceHousing|wpa|U2FsdGVkX19lNpBgQ7JNk0R1bERq1gVcZYFa2OWR1bdqJaOH6s0a7kZvEBDLM/3T|enc","","Linux: nmcli connection add type wifi","pre","System"
"Wifi","wifi_profile","AndroidAPA50|wpa|U2FsdGVkX1+7RGkqeiPBZkCQna29M8NLNLRwN4hcqOY=|enc","","Linux: nmcli connection add type wifi","pre","System"
"Firewall","fw_rule","Microsoft Edge WebView2 mDNS [UDP]|Inbound|Allow|True|UDP|5353|Any|%SystemRoot%\system32\Microsoft-Edge-WebView\msedgewebview2.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Remote Desktop - (TCP-WSS-In)|Inbound|Allow|False|TCP|3392|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Remote Desktop - Shadow (TCP-In)|Inbound|Allow|False|TCP|Any|Any|%SystemRoot%\system32\RdpSa.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Remote Desktop - User Mode (UDP-In)|Inbound|Allow|False|UDP|3389|Any|%SystemRoot%\system32\svchost.exe|termservice","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Remote Desktop - User Mode (TCP-In)|Inbound|Allow|False|TCP|3389|Any|%SystemRoot%\system32\svchost.exe|termservice","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V Replica HTTP Listener (TCP-In)|Inbound|Allow|False|TCP|80|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V (RPC)|Inbound|Allow|True|TCP|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V (RPC-EPMAP)|Inbound|Allow|True|TCP|RPCEPMap|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V - WMI (DCOM-In)|Inbound|Allow|True|TCP|135|Any|%SystemRoot%\system32\svchost.exe|rpcss","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V Management Clients - WMI (TCP-Out)|Outbound|Allow|True|TCP|Any|Any|%SystemRoot%\system32\svchost.exe|winmgmt","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V (MIG-TCP-In)|Inbound|Allow|True|TCP|6600|Any|%systemroot%\system32\vmms.exe|vmms","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V - WMI (TCP-Out)|Outbound|Allow|True|TCP|Any|Any|%SystemRoot%\system32\svchost.exe|winmgmt","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V Management Clients - WMI (Async-In)|Inbound|Allow|True|TCP|Any|Any|%SystemRoot%\system32\wbem\unsecapp.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V Management Clients - WMI (TCP-In)|Inbound|Allow|True|TCP|Any|Any|%SystemRoot%\system32\svchost.exe|winmgmt","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V Management Clients - WMI (DCOM-In)|Inbound|Allow|True|TCP|135|Any|%SystemRoot%\system32\svchost.exe|rpcss","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V (REMOTE_DESKTOP_TCP_IN)|Inbound|Allow|True|TCP|2179|Any|%systemroot%\system32\vmms.exe|vmms","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V - WMI (Async-In)|Inbound|Allow|True|TCP|Any|Any|%systemroot%\system32\wbem\unsecapp.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V - WMI (TCP-In)|Inbound|Allow|True|TCP|Any|Any|%SystemRoot%\system32\svchost.exe|winmgmt","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Hyper-V Replica HTTPS Listener (TCP-In)|Inbound|Allow|False|TCP|443|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Echo Request - ICMPv6-In)|Inbound|Allow|False|ICMPv6|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (LLMNR-UDP-Out)|Outbound|Allow|False|UDP|Any|5355|%SystemRoot%\system32\svchost.exe|dnscache","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (LLMNR-UDP-In)|Inbound|Allow|False|UDP|5355|Any|%SystemRoot%\system32\svchost.exe|dnscache","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv4-In)|Inbound|Allow|False|ICMPv4|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Datagram-In)|Inbound|Allow|False|UDP|138|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Name-Out)|Outbound|Allow|False|UDP|Any|137|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","WFD ASP Coordination Protocol (UDP-In)|Inbound|Allow|True|UDP|7235|7235|%systemroot%\system32\svchost.exe|WlanSvc","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","WFD Driver-only (UDP-Out)|Outbound|Allow|True|UDP|Any|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv6-In)|Inbound|Allow|False|ICMPv6|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Inbound Rule for Remote Shutdown (RPC-EP-In)|Inbound|Allow|False|TCP|RPCEPMap|Any|%systemroot%\system32\wininit.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Echo Request - ICMPv4-Out)|Outbound|Allow|False|ICMPv4|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Spooler Service - RPC-EPMAP)|Inbound|Allow|False|TCP|RPCEPMap|Any|%SystemRoot%\system32\svchost.exe|Rpcss","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv6-In)|Inbound|Allow|False|ICMPv6|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Session-Out)|Outbound|Allow|False|TCP|Any|139|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","WFD Driver-only (TCP-Out)|Outbound|Allow|True|TCP|Any|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Datagram-Out)|Outbound|Allow|False|UDP|Any|138|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Echo Request - ICMPv4-In)|Inbound|Allow|False|ICMPv4|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Spooler Service Worker - RPC)|Inbound|Allow|False|TCP|RPC|Any|%SystemRoot%\system32\spoolsvworker.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv6-Out)|Outbound|Allow|False|ICMPv6|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (SMB-In)|Inbound|Allow|False|TCP|445|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","WFD Driver-only (UDP-In)|Inbound|Allow|True|UDP|Any|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","WFD Driver-only (TCP-In)|Inbound|Allow|True|TCP|Any|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (SMB-Out)|Outbound|Allow|False|TCP|Any|445|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (SMB-In)|Inbound|Allow|False|TCP|445|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Spooler Service Worker - RPC)|Inbound|Allow|False|TCP|RPC|Any|%SystemRoot%\system32\spoolsvworker.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv4-In)|Inbound|Allow|False|ICMPv4|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Session-In)|Inbound|Allow|False|TCP|139|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Spooler Service - RPC)|Inbound|Allow|False|TCP|RPC|Any|%SystemRoot%\system32\spoolsv.exe|Spooler","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Name-In)|Inbound|Allow|False|UDP|137|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv6-Out)|Outbound|Allow|False|ICMPv6|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Spooler Service - RPC-EPMAP)|Inbound|Allow|False|TCP|RPCEPMap|Any|%SystemRoot%\system32\svchost.exe|Rpcss","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (LLMNR-UDP-Out)|Outbound|Allow|False|UDP|Any|5355|%SystemRoot%\system32\svchost.exe|dnscache","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (LLMNR-UDP-In)|Inbound|Allow|False|UDP|5355|Any|%SystemRoot%\system32\svchost.exe|dnscache","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Session-Out)|Outbound|Allow|False|TCP|Any|139|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","WFD ASP Coordination Protocol (UDP-Out)|Outbound|Allow|True|UDP|7235|7235|%systemroot%\system32\svchost.exe|WlanSvc","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Name-In)|Inbound|Allow|False|UDP|137|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Datagram-In)|Inbound|Allow|False|UDP|138|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Spooler Service Worker - RPC)|Inbound|Allow|False|TCP|RPC|Any|%SystemRoot%\system32\spoolsvworker.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (SMB-In)|Inbound|Allow|False|TCP|445|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (SMB-Out)|Outbound|Allow|False|TCP|Any|445|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv4-Out)|Outbound|Allow|False|ICMPv4|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (SMB-Out)|Outbound|Allow|False|TCP|Any|445|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Name-Out)|Outbound|Allow|False|UDP|Any|137|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Inbound Rule for Remote Shutdown (TCP-In)|Inbound|Allow|False|TCP|RPC|Any|%systemroot%\system32\wininit.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv4-Out)|Outbound|Allow|False|ICMPv4|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Spooler Service - RPC)|Inbound|Allow|False|TCP|RPC|Any|%SystemRoot%\system32\spoolsv.exe|Spooler","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Datagram-Out)|Outbound|Allow|False|UDP|Any|138|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Session-In)|Inbound|Allow|False|TCP|139|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Echo Request - ICMPv6-Out)|Outbound|Allow|False|ICMPv6|RPC|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Spooler Service - RPC)|Inbound|Allow|False|TCP|RPC|Any|%SystemRoot%\system32\spoolsv.exe|Spooler","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Spooler Service - RPC-EPMAP)|Inbound|Allow|False|TCP|RPCEPMap|Any|%SystemRoot%\system32\svchost.exe|Rpcss","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Media Center Extenders - qWave (TCP-In)|Inbound|Allow|False|TCP|2177|Any|%SystemRoot%\system32\svchost.exe|Qwave","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Windows Media Player Network Sharing Service (TCP-Out)|Outbound|Allow|False|TCP|Any|Any|%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Windows Media Player Network Sharing Service (qWave-UDP-In)|Inbound|Allow|False|UDP|2177|Any|%SystemRoot%\system32\svchost.exe|Qwave","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","BranchCache Peer Discovery (WSD-Out)|Outbound|Allow|False|UDP|Any|3702|%systemroot%\system32\svchost.exe|PeerDistSvc","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Windows Media Player (TCP-Out)|Outbound|Allow|False|TCP|Any|Any|%ProgramFiles%\Windows Media Player\wmplayer.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Windows Media Player (UDP-Out)|Outbound|Allow|False|UDP|Any|Any|%ProgramFiles%\Windows Media Player\wmplayer.exe|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","BranchCache Content Retrieval (HTTP-In)|Inbound|Allow|False|TCP|80|Any|SYSTEM|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Windows Media Player Network Sharing Service (HTTP-Streaming-In)|Inbound|Allow|False|TCP|10243|Any|System|","","Linux: ufw / firewalld","pre","System"
"Firewall","fw_rule","Windows Media Player Network Sharing Service (Streaming-UDP-Out)|Outbound|Allow|False|UDP|Any|Any|%PROGRAMFILES%\Windows Media Player\wmplayer.exe|","","Linux: ufw / firewalld","pre","System"
