"Name","Version","Publisher","Source","macOS Availability","Best macOS Alternative","Alternative Competency","Pricing model","Must be included on macOS","Can be synched to macOS alternative","macOS Alternative Type","Download URL"
"Gurobi 13.0.1","13.0.1.0","Gurobi Optimization, LLC","Win32","Available on macOS","Gurobi Optimizer for Mac (install: manual)","70","Paid","yes","No, manual transfer","Native (manual install)","https://www.gurobi.com/downloads/"
"Hotspot Shield 12.16.0","12.16.0.12317","Pango Inc.","Win32","Available on macOS; Native Alternative","Hotspot Shield for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/hotspot-shield"
"Internet Download Manager","6.42.64","Tonec Inc.","Win32","Available on macOS; Native Alternative","Folx (install: cask)","70","Freemium","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/folx"
"Java 8 Update 501","8.0.5010.8","Oracle Corporation","Win32","Available on macOS; Native Alternative","Eclipse Temurin (OpenJDK) for Mac (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/temurin"
"K-Lite Mega Codec Pack 19.7.5","19.7.5","KLCP","Win32","Available on macOS","IINA / VLC (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/iina"
"KMPlayer","4.2.3.36","PandoraTV","Win32","Available on macOS; Native Alternative","IINA (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/iina"
"Legion Arena","1.3.1.1","Lenovo Group Ltd.","Win32","Not Available; Native Alternative","Steam (install: cask)","70","Free","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/steam"
"Lenovo Go Central","1.2.4.10091","Lenovo","Win32","Not Available; Native Alternative","Logi Options+ (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/logi-options-plus"
"Lenovo Professional Wireless Rechargeable Combo","1.0.0.6","Lenovo","Win32","Not Available; Native Alternative","Logi Options+ (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/logi-options-plus"
"Lenovo Vantage Service","5.1.2607.5","Lenovo Group Ltd.","Win32","Not Available; Native Alternative","fwupd + GNOME Firmware (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)",""
"Lightshot-5.5.0.7","5.5.0.7","Skillbrains","Win32","Available on macOS; Native Alternative","Shottr (install: cask)","70","Free","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/shottr"
"Longman Dictionary of Contemporary English 5th Edition","","","Win32","Not Available; Native Alternative","Dictionary (install: builtin)","70","Free (FOSS)","yes","No, manual transfer","Native (built into macOS)",""
"Microsoft .NET SDK 10.0.302 (x64) from Visual Studio","40.11.44881","Microsoft Corporation","Win32","Not Available; Native Alternative","JetBrains Rider (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/rider"
"Microsoft 365 - en-us","16.0.20228.20158","Microsoft Corporation","Win32","Available on macOS; Native Alternative; Available as WebApp; Windows Emulator (Wine/CrossOver)","Microsoft 365 (Office for Mac) (install: cask)","70","Paid","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/microsoft-office"
"Microsoft 365 - fa-ir","16.0.20228.20158","Microsoft Corporation","Win32","Available on macOS; Native Alternative; Available as WebApp; Windows Emulator (Wine/CrossOver)","Microsoft 365 (Office for Mac) (install: cask)","70","Paid","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/microsoft-office"
"Microsoft 365 - fr-fr","16.0.20228.20158","Microsoft Corporation","Win32","Available on macOS; Native Alternative; Available as WebApp; Windows Emulator (Wine/CrossOver)","Microsoft 365 (Office for Mac) (install: cask)","70","Paid","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/microsoft-office"
"Microsoft 365 Apps for enterprise - en-us","16.0.20228.20158","Microsoft Corporation","Win32","Available on macOS; Native Alternative; Available as WebApp; Windows Emulator (Wine/CrossOver)","Microsoft 365 (Office for Mac) (install: cask)","70","Paid","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/microsoft-office"
"Microsoft 365 Apps for enterprise - fa-ir","16.0.20228.20158","Microsoft Corporation","Win32","Available on macOS; Native Alternative; Available as WebApp; Windows Emulator (Wine/CrossOver)","Microsoft 365 (Office for Mac) (install: cask)","70","Paid","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/microsoft-office"
"Microsoft 365 Apps for enterprise - fr-fr","16.0.20228.20158","Microsoft Corporation","Win32","Available on macOS; Native Alternative; Available as WebApp; Windows Emulator (Wine/CrossOver)","Microsoft 365 (Office for Mac) (install: cask)","70","Paid","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/microsoft-office"
"Microsoft Edge","151.0.4129.59","Microsoft Corporation","Win32","Available on macOS","Microsoft Edge for Mac (install: cask)","70","Free","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/microsoft-edge"
"Microsoft MPI (10.1.12498.18)","10.1.12498.18","Microsoft Corporation","Win32","Not Available; Native Alternative","Open MPI (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/open-mpi"
"Microsoft OneDrive","26.129.0706.0004","Microsoft Corporation","Win32","Available on macOS; Native Alternative; Available as WebApp","Microsoft OneDrive for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/onedrive"
"Microsoft SQL Server 2025","","Microsoft Corporation","Win32","Available on macOS; macOS Docker","SQL Server (Docker on macOS) (install: docker)","70","Free (Developer/Express); Paid (Standard/Enterprise)","yes","No, manual transfer","Docker container","https://hub.docker.com/r/mcr.microsoft.com/mssql/server"
"Microsoft Visual Studio Code","1.132.0","Microsoft Corporation","Win32","Available on macOS","Visual Studio Code for Mac (install: cask)","70","Free (FOSS)","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/visual-studio-code"
"MiKTeX","26.1","MiKTeX.org","Win32","Available on macOS; Native Alternative","MacTeX (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/mactex"
"Miniconda3 py313_26.3.2-2 (Python 3.13.13 64-bit)","py313_26.3.2-2","Anaconda, Inc.","Win32","Available on macOS; Official macOS installer (.dmg/.pkg)","Miniconda for Mac (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/miniconda"
"MobaXterm","25.4.0.5418","Mobatek","Win32","Available on macOS; Native Alternative; Windows Emulator (Wine/CrossOver)","Termius (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/termius"
"Mozilla Firefox (x64 en-US)","153.0.3","Mozilla","Win32","Available on macOS","Firefox for Mac (install: cask)","70","Free (FOSS)","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/firefox"
"ninja","1.13.2","ninja-build","Win32","Available on macOS","Ninja for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/ninja"
"Node.js","24.15.0","Node.js Foundation","Win32","Available on macOS","Node.js for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/node"
"NordUpdater","1.5.0.1028","Nord Security","Win32","Needs Review - NOT IN MANIFEST","Not in manifest - research manually or add to B_applications.json","","","no","No, manual transfer","",""
"NordVPN","8.8.3.0","Nord Security","Win32","Available on macOS; Official native app (Homebrew Cask)","NordVPN for Mac (install: cask)","70","Paid","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/nordvpn"
"Notepad++","8.9.7","Notepad++ Team","Win32","Native Alternative; Windows Emulator (Wine/CrossOver)","BBEdit (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/bbedit"
"OpenSSH","8.9.1.0","Microsoft Corporation","Win32","Available on macOS","Terminal (install: builtin)","70","Free (FOSS)","yes","No, manual transfer","Native (built into macOS)",""
"OpenSSL 3.3.0","3.3.0","OpenSSL Win32 Installer Team","Win32","Available on macOS","OpenSSL 3 for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/openssl@3"
"Oracle VirtualBox 7.2.14","7.2.14","Oracle and/or its affiliates","Win32","Available on macOS; Available as WebApp; Native Alternative","Box Drive for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/box-drive"
"Pandoc 3.9","3.9","John MacFarlane","Win32","Available on macOS","Pandoc for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/pandoc"
"PaperCut Print Deploy Client","1.10.2699","PaperCut Software International Pty Ltd","Win32","Available on macOS","PaperCut Print Deploy for Mac (install: manual)","70","Paid","yes","No, manual transfer","Native (manual install)","https://www.papercut.com/"
"pgAdmin 4 version 9.10","9.10","The pgAdmin Development Team","Win32","Available on macOS","pgAdmin 4 for Mac (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/pgadmin4"
"PowerShell 7.6.3.0-x64","7.6.3.0","Microsoft Corporation","Win32","Available on macOS","PowerShell for macOS (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/powershell"
"PowerToys","0.100.2","Microsoft Corporation","Win32","Available on macOS; Native Alternative","Rectangle + Raycast (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/rectangle"
"Proxifier version 4.12","4.12","VentoByte SL","Win32","Available on macOS; Native Alternative","Proxifier for Mac (install: cask)","70","Paid","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/proxifier"
"PuTTY release 0.83","0.83.0.0","Simon Tatham","Win32","Available on macOS","Terminal (install: builtin)","70","Free","yes","No, manual transfer","Native (built into macOS)",""
"Python 3.12.10","3.12.10150.0","Python Software Foundation","Win32","Available on macOS","Python 3 for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/python"
"Python 3.14.3","3.14-64","Python Software Foundation","Win32","Available on macOS","Python 3 for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/python"
"Python 3.14.5","3.14.5150.0","Python Software Foundation","Win32","Available on macOS","Python 3 for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/python"
"Python Launcher","3.14.5150.0","Python Software Foundation","Win32","Available on macOS; Not needed; macOS invokes python3 directly (pyenv for multiple versions)","Python 3 for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/python"
"Quick Share","1.0.2600.1","Google LLC","Win32","Available on macOS; Native Alternative","Finder (install: builtin)","70","Free","yes","No, manual transfer","Native (built into macOS)",""
"QUICKfind server v1.1","","IDM","Win32","Not Available","QUICKfind (Web) (install: web)","70","Paid","yes","No, manual transfer","WebApp","See notes for URL"
"R for Windows 4.5.2","4.5.2","R Core Team","Win32","Available on macOS","R for macOS (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/r"
"RealVNC Viewer 7.15.0","7.15.0.17","RealVNC","Win32","Available on macOS","RealVNC Viewer for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/vnc-viewer"
"Remote Desktop Manager","2026.2.17.0","Devolutions inc.","Win32","Available on macOS; Native Alternative","Remote Desktop Manager for Mac (install: manual)","70","Freemium","yes","Yes","Native (manual install)","https://devolutions.net/remote-desktop-manager/home/download/"
"Reverso","2.16.1.935","Reverso","Win32","Native Alternative; Available as WebApp","Reverso (Web) (install: web)","70","Freemium","yes","Yes","WebApp","https://reverso.net"
"RStudio","2026.01.0+392","Posit Software","Win32","Available on macOS","RStudio for Mac (install: cask)","70","Freemium","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/rstudio"
"Samsung Magician","9.0.0.910","Samsung Electronics","Win32","Available on macOS; Native Alternative","Samsung Magician for Mac (install: manual)","70","Free","yes","No, manual transfer","Native (manual install)","https://semiconductor.samsung.com/consumer-storage/support/tools/"
"Signal 8.20.0","8.20.0","Signal Messenger, LLC","Win32","Available on macOS","Signal for Mac (install: cask)","70","Free (FOSS)","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/signal"
"Snoopy","3.21.8","BTU-Cottbus","Win32","Not Available; Native Alternative","Terminal (install: builtin)","70","Free (FOSS)","yes","No, manual transfer","Native (built into macOS)",""
"SpotPlayer","5.3.2.32","","Win32","Available on macOS","SpotPlayer for Mac (install: manual)","70","Free","yes","No, manual transfer","Native (manual install)","https://spotplayer.ir/"
"SQL Server Management Studio 22","22.8.1","Microsoft Corporation","Win32","Available on macOS; Native Alternative; macOS Docker","Azure Data Studio (install: cask)","70","Free (FOSS)","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/azure-data-studio"
"Strawberry Perl","5.42.1","strawberryperl.com project","Win32","Available on macOS","Perl for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/perl"
"TickTick version 8.1.3.0","8.1.3.0","Appest.com","Win32","Available on macOS; Native Alternative; Available as WebApp","TickTick for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/ticktick"
"TigerVNC 1.16.0 ()","1.16.0","TigerVNC team","Win32","Available on macOS; Native Alternative","Screen Sharing (install: builtin)","70","Free","yes","No, manual transfer","Native (built into macOS)","https://support.apple.com/guide/mac-help/share-the-screen-of-another-mac-mh14066/mac"
"Todoist 9.29.1","9.29.1","Doist","Win32","Available on macOS; Available as WebApp; Native Alternative","Todoist for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/todoist"
"Visual Studio Build Tools 2022","17.14.37","Microsoft Corporation","Win32","Not Available; Native Alternative","JetBrains Rider (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/rider"
"Visual Studio Build Tools 2026 (2)","18.8.1","Microsoft Corporation","Win32","Not Available; Native Alternative","JetBrains Rider (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/rider"
"Visual Studio Community 2026","18.8.1","Microsoft Corporation","Win32","Not Available; Native Alternative","JetBrains Rider (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/rider"
"VMware Workstation","26.0.0","VMware, Inc.","Win32","Available on macOS","VMware Fusion (install: cask)","70","Freemium","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/vmware-fusion"
"VNC Server 6.4.1","6.4.1.40826","RealVNC Ltd","Win32","Available on macOS; Native Alternative","Screen Sharing (built-in VNC server) (install: builtin)","70","Free","yes","No, manual transfer","Native (built into macOS)","https://support.apple.com/guide/mac-help/mchlp1066/mac"
"Windows Software Development Kit - Windows 10.0.26100.7705","10.1.26100.7705","Microsoft Corporation","Win32","Available on macOS; Not Available (Windows-specific SDK; no macOS counterpart)","Xcode (install: mas)","70","Free","yes","No, manual transfer","Native (Mac App Store)","https://apps.apple.com/app/id497799835"
"Windows Software Development Kit - Windows 10.0.26100.8249","10.1.26100.8249","Microsoft Corporation","Win32","Available on macOS; Not Available (Windows-specific SDK; no macOS counterpart)","Xcode (install: mas)","70","Free","yes","No, manual transfer","Native (Mac App Store)","https://apps.apple.com/app/id497799835"
"WinRAR 7.23","7.23.0","win.rar GmbH","Win32","Available on macOS; Native Alternative","Keka + rar CLI (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/keka"
"wkhtmltox 0.12.6-1","","","Win32","Available on macOS","wkhtmltopdf for macOS (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/wkhtmltopdf"
"Alarms & Clock","11.2606.11.0","Microsoft Corporation","Store","Available on macOS; Native Alternative","Clock (install: builtin)","70","Free","yes","Yes","Native (built into macOS)",""
"Bing Search","1.1.43.0","Microsoft Corporation","Store","Available as WebApp","Bing (Web) (install: web)","70","Free","yes","No, manual transfer","WebApp","https://bing.com"
"Bluetoothfor Windows","1.1.3.0","A9DE9936-0510-436D-B859-DCBA7C352831","Store","Available on macOS","Bluetooth (built into macOS) (install: builtin)","70","Free","yes","No, manual transfer","Native (built into macOS)","https://support.apple.com/guide/mac-help/connect-a-bluetooth-device-blth1004/mac"
"Claude","1.26832.0.0","""Anthropic","Store","Available on macOS; Available as WebApp","Claude for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/claude"
"Hotspot Shield VPN","2.14.15.0","40A2CDA2-D0AF-435F-A279-6C44E4FF8428","Store","Available on macOS; Native Alternative","Hotspot Shield for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/hotspot-shield"
"Lenovo Vantage","10.2606.12.0","8F32EFB2-B494-4AEC-A27C-4B0736252363","Store","Not Available; Native Alternative","fwupd + GNOME Firmware (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)",""
"Microsoft Office Hub","19.2608.34011.0","Microsoft Corporation","Store","Available on macOS; Native Alternative; Available as WebApp; Windows Emulator (Wine/CrossOver)","Microsoft 365 (Office for Mac) (install: cask)","70","Paid","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/microsoft-office"
"Microsoft To Do","2.176.7601.0","Microsoft Corporation","Store","Available on macOS; Native Alternative; Available as WebApp","Microsoft To Do for Mac (install: mas)","70","Free","yes","Yes","Native (Mac App Store)","https://apps.apple.com/app/id1274495053"
"MS Teams","26198.304.4946.9672","Microsoft Corporation","Store","Available on macOS; Native Alternative; Available as WebApp","Microsoft Teams for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/microsoft-teams"
"Nearby Share","1.0.2600.1","Google LLC","Store","Available on macOS; Native Alternative","Finder (install: builtin)","70","Free","yes","No, manual transfer","Native (built into macOS)",""
"One Drive Sync","26129.706.4.0","Microsoft Corporation","Store","Available on macOS; Native Alternative; Available as WebApp","Microsoft OneDrive for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/onedrive"
"Outlook For Windows","1.2026.728.100","Microsoft Corporation","Store","Available on macOS; Native Alternative; Available as WebApp","Microsoft Outlook for Mac (install: cask)","70","Paid","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/microsoft-outlook"
"Paint","11.2605.71.0","Microsoft Corporation","Store","Available on macOS; Native Alternative","Preview (install: builtin)","70","Free","yes","No, manual transfer","Native (built into macOS)",""
"Photos","2026.11060.2004.0","Microsoft Corporation","Store","Available on macOS; Native Alternative","Photos (install: builtin)","70","Free","yes","Yes","Native (built into macOS)",""
"Power Automate","1.0.2117.0","Microsoft Corporation","Store","Available on macOS; Native Alternative","Shortcuts (install: builtin)","70","Free","yes","Yes","Native (built into macOS)",""
"Power Shell","7.6.4.0","Microsoft Corporation","Store","Available on macOS","PowerShell for macOS (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/powershell"
"Psiphon Conduit","1.1.2.0","D3FB399C-50BF-4A4E-9C6C-D7BB8066705A","Store","Native Alternative","Proton VPN (install: apt)","70","Freemium","yes","No, manual transfer","Native (APT package)","https://formulae.brew.sh/cask/protonvpn"
"Python Manager","26.3.240.0","Python Software Foundation","Store","Available on macOS; Not needed; use pyenv or Homebrew","pyenv (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/pyenv"
"Rufus","4.15.2396.0","7AC86D13-3E5A-491A-ADD5-80095C212740","Store","Available on macOS; Native Alternative","balenaEtcher (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/balenaetcher"
"Samsung Account","1.26.6021.0","520D4CDF-A287-4423-AB88-D88CCF7E866D","Store","Available as WebApp","Samsung Account (Web) (install: web)","70","Free","yes","Yes","WebApp","https://account.samsung.com"
"Sound Recorder","11.2606.0.0","Microsoft Corporation","Store","Available on macOS; Native Alternative","Voice Memos (install: builtin)","70","Free","yes","Yes","Native (built into macOS)",""
"Ubuntu (WSL)","2404.1.68.0","23596F84-C3EA-4CD8-A7DF-550DCE37BCD0","Store","Available on macOS","UTM / Multipass (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/utm"
"Weather","4.54.63045.0","Microsoft Corporation","Store","Available on macOS; Native Alternative; Available as WebApp","Weather (install: builtin)","70","Free","yes","Yes","Native (built into macOS)",""
"Whats App Desktop","2.2630.102.0","24803D75-212C-471A-BC57-9EF86AB91435","Store","Available on macOS; Native Alternative; Available as WebApp","WhatsApp for Mac (install: cask)","70","Free","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/whatsapp"
"Windows Calculator","11.2606.0.0","Microsoft Corporation","Store","Available on macOS; Native Alternative","Calculator (install: builtin)","70","Free","yes","No, manual transfer","Native (built into macOS)",""
"Windows Camera","2026.2605.7.0","Microsoft Corporation","Store","Available on macOS; Native Alternative","Photo Booth (install: builtin)","70","Free","yes","No, manual transfer","Native (built into macOS)",""
"Windows Notepad","11.2606.15.0","Microsoft Corporation","Store","Available on macOS; Native Alternative","TextEdit (install: builtin)","70","Free","yes","No, manual transfer","Native (built into macOS)",""
"Windows Store","22606.1401.13.0","Microsoft Corporation","Store","Available on macOS; Native Alternative","App Store (install: builtin)","70","Free","yes","Yes","Native (built into macOS)",""
"Windows Terminal","1.24.11911.0","Microsoft Corporation","Store","Available on macOS; Native Alternative","Terminal (install: builtin)","70","Free","yes","No, manual transfer","Native (built into macOS)",""
"Zune Music","11.2606.19.0","Microsoft Corporation","Store","Available on macOS; Native Alternative","Music (install: builtin)","70","Free","yes","Yes","Native (built into macOS)",""
