"Device Name","Device Class","Manufacturer","Driver Version","Driver Date","Driver Provider","Hardware ID","macOS Driver Status","macOS Driver / Module","Vendor Download","Notes","Must install on macOS"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{956c7b26-d49a-4ba8-b03f-b17d393cb6e2}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{df21fe2c-2515-4fdb-8886-f12c4d67927c}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{9b26d8c0-a8ed-440b-95b0-c4714a518bcc}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Spp1","","","","","","BTHENUM\{0cf12d31-fac3-4553-bd80-d6832e7b3040}_LOCALMFG&0002","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"USB4 Virtual power coordination device","","","","","","USB4\VIRTUAL_POWER_PDO&VID_8086&PID_7EC2&REV_0010","In-OS","IOThunderboltFamily (built into macOS)","","USB4/Thunderbolt is native to every Mac - Apple invented Thunderbolt; nothing to install.","no"
"Microsoft Surface ACPI-Compliant Control Method Battery","BATTERY","Surface","1.2.20.0","2017-02-02","Surface","ACPI\VEN_PNP&DEV_0C0A","Not Applicable","Apple SMC / power management (built into macOS)","","Battery and power management are part of macOS; configure them in System Settings > Battery.","no"
"Intel(R) Wireless Bluetooth(R)","BLUETOOTH","Intel Corporation","24.10.0.4","2025-11-10","Intel Corporation","USB\VID_8087&PID_0036&REV_0000","In-OS","IOBluetoothFamily (built into macOS)","","Bluetooth is built into every Mac and driven in-OS; just re-pair your devices.","no"
"Integrated Camera","CAMERA","SunplusIT","5.0.18.295","2025-12-12","SunplusIT","USB\VID_30C9&PID_00F8&REV_0016&MI_00","In-OS","CoreMediaIO UVC driver (built into macOS)","","UVC webcams work out of the box on macOS. Windows Hello IR cameras have no macOS equivalent - Macs use Touch ID / Apple Watch unlock instead.","no"
"Intel(R) AI Boost","COMPUTEACCELERATOR","Intel Corporation","32.0.100.4404","2025-11-11","Intel Corporation","PCI\VEN_8086&DEV_AD1D&SUBSYS_3D6C17AA&REV_01","Not Supported","Apple Neural Engine (Core ML) is the macOS equivalent","https://developer.apple.com/machine-learning/core-ml/","The Intel NPU has no macOS driver. Every Apple Silicon Mac has a Neural Engine instead, used automatically through Core ML.","no"
"Intel(R) Graphics","DISPLAY","Intel Corporation","32.0.101.8331","2026-01-29","Intel Corporation","PCI\VEN_8086&DEV_7D67&SUBSYS_800E17AA&REV_06","In-OS","AppleIntelGraphics (built into macOS on Intel Macs)","","Intel integrated graphics are driven in-OS on Intel Macs. On Apple Silicon the built-in Apple GPU takes over; nothing to install either way.","no"
"NVIDIA GeForce RTX 5070 Ti Laptop GPU","DISPLAY","NVIDIA","32.0.15.9201","2026-02-15","NVIDIA","PCI\VEN_10DE&DEV_2F58&SUBSYS_800E17AA&REV_A1","Not Supported","none - use the Mac's own GPU (Apple Silicon) or an AMD card on Intel Macs","https://support.apple.com/en-us/102363","NVIDIA GPUs are NOT supported on macOS: the web drivers ended with High Sierra and Apple Silicon Macs have no PCIe GPU support at all. Your Mac's built-in GPU replaces it.","no"
"Logicool HID Keyboard Consumer Controls","HIDCLASS","Logicool","5.92.28.0","2018-04-03","Logicool","HID\VID_046D&PID_C534&REV_2901&MI_01&Col02","In-OS","IOHIDFamily (built into macOS)","","Keyboard/mouse/HID work out of the box. Vendor RGB/macro software differs on macOS: Logi Options+, Razer Synapse and Corsair iCUE all have Mac builds.","no"
"Logicool HID Keyboard Power Key","HIDCLASS","Logicool","5.92.28.0","2018-04-03","Logicool","HID\VID_046D&PID_C534&REV_2901&MI_01&Col03","In-OS","IOHIDFamily (built into macOS)","","Keyboard/mouse/HID work out of the box. Vendor RGB/macro software differs on macOS: Logi Options+, Razer Synapse and Corsair iCUE all have Mac builds.","no"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","2006-06-21","Microsoft","USB\VID_046D&PID_C534&REV_2901&MI_00","In-OS","IOHIDFamily (built into macOS)","","Keyboard/mouse/HID work out of the box. Vendor RGB/macro software differs on macOS: Logi Options+, Razer Synapse and Corsair iCUE all have Mac builds.","no"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","2006-06-21","Microsoft","USB\VID_048D&PID_C193&REV_0010&MI_00","In-OS","IOHIDFamily (built into macOS)","","Keyboard/mouse/HID work out of the box. Vendor RGB/macro software differs on macOS: Logi Options+, Razer Synapse and Corsair iCUE all have Mac builds.","no"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","2006-06-21","Microsoft","USB\VID_17EF&PID_F006&REV_0034&MI_01","In-OS","IOHIDFamily (built into macOS)","","Keyboard/mouse/HID work out of the box. Vendor RGB/macro software differs on macOS: Logi Options+, Razer Synapse and Corsair iCUE all have Mac builds.","no"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","2006-06-21","Microsoft","USB\VID_048D&PID_C197&REV_2200","In-OS","IOHIDFamily (built into macOS)","","Keyboard/mouse/HID work out of the box. Vendor RGB/macro software differs on macOS: Logi Options+, Razer Synapse and Corsair iCUE all have Mac builds.","no"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","2006-06-21","Microsoft","USB\VID_048D&PID_C193&REV_0010&MI_01","In-OS","IOHIDFamily (built into macOS)","","Keyboard/mouse/HID work out of the box. Vendor RGB/macro software differs on macOS: Logi Options+, Razer Synapse and Corsair iCUE all have Mac builds.","no"
"USB Input Device","HIDCLASS","(Standard system devices)","10.0.26100.8875","2006-06-21","Microsoft","USB\VID_046D&PID_C534&REV_2901&MI_01","In-OS","IOHIDFamily (built into macOS)","","Keyboard/mouse/HID work out of the box. Vendor RGB/macro software differs on macOS: Logi Options+, Razer Synapse and Corsair iCUE all have Mac builds.","no"
"Logitech HID-Compliant Keyboard","KEYBOARD","Logitech","5.92.28.0","2018-04-03","Logitech","HID\VID_046D&PID_C534&REV_2901&MI_00","In-OS","IOHIDFamily (built into macOS)","","Keyboard/mouse/HID work out of the box. Vendor RGB/macro software differs on macOS: Logi Options+, Razer Synapse and Corsair iCUE all have Mac builds.","no"
"Awinic Smart Amplifier Driver for Speakers","MEDIA","Awinic","1.0.1.2","2025-04-07","Awinic","ACPI\VEN_AWDZ&DEV_8399&SUBSYS_17AA3906","In-OS","AppleHDA / USB Audio Class (built into macOS) + Core Audio","","Audio is handled by Core Audio in-OS. USB and Thunderbolt audio interfaces are class-compliant; only a few pro interfaces ship their own macOS driver.","no"
"NVIDIA High Definition Audio","MEDIA","Microsoft","1.4.5.7","2026-02-15","NVIDIA Corporation","HDAUDIO\FUNC_01&VEN_10DE&DEV_00AF&SUBSYS_10DE0000&REV_1001","In-OS","AppleHDA / USB Audio Class (built into macOS) + Core Audio","","Audio is handled by Core Audio in-OS. USB and Thunderbolt audio interfaces are class-compliant; only a few pro interfaces ship their own macOS driver.","no"
"Realtek High Definition Audio(SST)","MEDIA","Microsoft","6.0.9882.1","2025-09-02","Realtek Semiconductor Corp.","INTELAUDIO\FUNC_01&VEN_10EC&DEV_0287&SUBSYS_17AA3906&REV_1000","In-OS","AppleHDA / USB Audio Class (built into macOS) + Core Audio","","Audio is handled by Core Audio in-OS. USB and Thunderbolt audio interfaces are class-compliant; only a few pro interfaces ship their own macOS driver.","no"
"Lenovo DisplayHDR","MONITOR","Lenovo","20.24.0.20","2025-11-25","Lenovo","MONITOR\SDC420B","Not Applicable","handled by macOS (EDID)","","Monitors need no driver on macOS; use System Settings > Displays (BetterDisplay adds custom scaled modes).","no"
"Logicool HID-compliant Cordless Mouse","MOUSE","Logicool","5.92.28.0","2018-04-03","Logicool","HID\VID_046D&PID_C534&REV_2901&MI_01&Col01","In-OS","IOHIDFamily (built into macOS)","","Keyboard/mouse/HID work out of the box. Vendor RGB/macro software differs on macOS: Logi Options+, Razer Synapse and Corsair iCUE all have Mac builds.","no"
"Intel(R) Ethernet Controller I226-V","NET","Intel","2.1.5.7","2026-01-19","Intel","PCI\VEN_8086&DEV_125C&SUBSYS_380117AA&REV_04","In-OS","AppleEthernet / built-in NIC driver (built into macOS)","","Wired Ethernet on a Mac (built-in or via a Thunderbolt/USB adapter) is driven in-OS; a PC NIC card has no macOS driver but is not needed.","no"
"Intel(R) Wi-Fi 7 BE200 320MHz","NET","Intel Corporation","24.20.2.1","2026-02-12","Intel","PCI\VEN_8086&DEV_272B&SUBSYS_00F48086&REV_1A","In-OS","IO80211Family / AirPort (built into macOS)","","Wi-Fi on a Mac is Apple/Broadcom silicon driven entirely in-OS. A PC Wi-Fi card cannot be transplanted into a Mac, and no driver is needed for the Mac's own radio.","no"
"Standard NVM Express Controller","SCSIADAPTER","Standard NVM Express Controller","10.0.26100.8737","2006-06-21","Microsoft","PCI\VEN_144D&DEV_A80C&SUBSYS_A801144D&REV_00","In-OS","IOAHCIFamily / IOStorageFamily (built into macOS)","","Storage controller/disk - driven in-OS. NTFS volumes are read-only on macOS unless you add a third-party driver.","no"
"Standard NVM Express Controller","SCSIADAPTER","Standard NVM Express Controller","10.0.26100.8737","2006-06-21","Microsoft","PCI\VEN_144D&DEV_A810&SUBSYS_A801144D&REV_00","In-OS","IOAHCIFamily / IOStorageFamily (built into macOS)","","Storage controller/disk - driven in-OS. NTFS volumes are read-only on macOS unless you add a third-party driver.","no"
"NVIDIA Platform Controllers and Framework","SOFTWAREDEVICE","NVIDIA","32.0.15.9071","2026-02-15","NVIDIA","ACPI\VEN_NVDA&DEV_0820","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
" Error Aggregation Handler (EAH) - 7F2F","SYSTEM","INTEL","10.1.51.10","1968-07-18","INTEL","PCI\VEN_8086&DEV_7F2F&SUBSYS_3D6C17AA&REV_10","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
" LPC Controller/eSPI Controller - 7F0C","SYSTEM","INTEL","10.1.51.10","1968-07-18","INTEL","PCI\VEN_8086&DEV_7F0C&SUBSYS_3D6C17AA&REV_10","In-OS","Apple platform drivers (built into macOS)","","Chipset/platform device - the Mac has its own equivalent, driven in-OS.","no"
" SPI (flash) Controller - 7F24","SYSTEM","INTEL","10.1.51.10","1968-07-18","INTEL","PCI\VEN_8086&DEV_7F24&SUBSYS_3D6C17AA&REV_10","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"High Definition Audio Controller","SYSTEM","Microsoft","10.0.26100.8521","2026-05-16","Microsoft","PCI\VEN_10DE&DEV_2F80&SUBSYS_000010DE&REV_A1","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel(R) Innovation Platform Framework Generic Participant","SYSTEM","Intel","2.3.20300.4905","2025-10-15","Intel","ACPI\VEN_INTC&DEV_1062","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel(R) Innovation Platform Framework Manager","SYSTEM","Intel","2.3.20300.4905","2025-10-15","Intel","ACPI\VEN_INTC&DEV_1042","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel(R) Innovation Platform Framework Processor Participant","SYSTEM","Intel","2.3.20300.4905","2025-10-15","Intel","PCI\VEN_8086&DEV_AD03&SUBSYS_3D6C17AA&REV_01","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel(R) Innovation Platform Framework SMBUS Device","SYSTEM","Intel","2.3.20300.4905","2025-10-15","Intel","PCI\VEN_8086&DEV_7F23&SUBSYS_3D6C17AA&REV_10","In-OS","Apple platform drivers (built into macOS)","","Chipset/platform device - the Mac has its own equivalent, driven in-OS.","no"
"Intel(R) Management Engine Interface #1","SYSTEM","Intel","2552.8.10.0","2025-12-23","Intel","PCI\VEN_8086&DEV_7F68&SUBSYS_3D6C17AA&REV_10","In-OS","Apple platform drivers (built into macOS)","","Chipset/platform device - the Mac has its own equivalent, driven in-OS.","no"
"Intel(R) Platform Monitoring Technology (PMT) Driver","SYSTEM","Intel(R) Platform Monitoring Technology (PMT) Device","3.1.2.6","2024-05-24","Intel(R) Platform Monitoring Technology (PMT) Device","PCI\VEN_8086&DEV_AD0D&SUBSYS_3D6C17AA&REV_01","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel(R) Serial IO GPIO Host Controller - INTC1082","SYSTEM","Intel Corporation","30.100.2529.2","2025-07-13","Intel Corporation","ACPI\VEN_INTC&DEV_1082","In-OS","Apple platform drivers (built into macOS)","","Chipset/platform device - the Mac has its own equivalent, driven in-OS.","no"
"Intel(R) Serial IO GPIO Host Controller - INTC1084","SYSTEM","Intel Corporation","30.100.2529.2","2025-07-13","Intel Corporation","ACPI\VEN_INTC&DEV_1084","In-OS","Apple platform drivers (built into macOS)","","Chipset/platform device - the Mac has its own equivalent, driven in-OS.","no"
"Intel(R) Serial IO I2C Host Controller - 7F4C","SYSTEM","Intel Corporation","30.100.2529.2","2025-07-13","Intel Corporation","PCI\VEN_8086&DEV_7F4C&SUBSYS_3D6C17AA&REV_10","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel(R) Serial IO I2C Host Controller - 7F4D","SYSTEM","Intel Corporation","30.100.2529.2","2025-07-13","Intel Corporation","PCI\VEN_8086&DEV_7F4D&SUBSYS_3D6C17AA&REV_10","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel(R) Serial IO I2C Host Controller - 7F4E","SYSTEM","Intel Corporation","30.100.2529.2","2025-07-13","Intel Corporation","PCI\VEN_8086&DEV_7F4E&SUBSYS_3D6C17AA&REV_10","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel(R) Serial IO I2C Host Controller - 7F7A","SYSTEM","Intel Corporation","30.100.2529.2","2025-07-13","Intel Corporation","PCI\VEN_8086&DEV_7F7A&SUBSYS_3D6C17AA&REV_10","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel(R) Serial IO I2C Host Controller - 7F7B","SYSTEM","Intel Corporation","30.100.2529.2","2025-07-13","Intel Corporation","PCI\VEN_8086&DEV_7F7B&SUBSYS_3D6C17AA&REV_10","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel(R) SPI (flash) Controller - AE23","SYSTEM","INTEL","10.1.47.12","1968-07-18","INTEL","PCI\VEN_8086&DEV_AE23&SUBSYS_3D6C17AA&REV_10","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel(R) Watchdog Timer Driver (Intel(R) WDT)","SYSTEM","Intel","11.7.0.1017","2024-05-13","Intel","ACPI\VEN_INTC&DEV_109F","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel® Smart Sound Technology BUS","SYSTEM","Intel(R) Corporation","20.40.12446.9","2025-11-24","Intel(R) Corporation","PCI\VEN_8086&DEV_7F50&SUBSYS_3D6C17AA&REV_10","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Intel® Smart Sound Technology OED","SYSTEM","Intel(R) Corporation","20.40.12446.9","2025-11-24","Intel(R) Corporation","INTELAUDIO\DSP_CTLR_DEV_7F50&VEN_8086&DEV_0222&SUBSYS_3D6C17AA&REV_0010","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Lenovo ACPI-Compliant Virtual Power Controller","SYSTEM","Lenovo","15.11.30.11","2025-08-14","Lenovo","ACPI\VEN_VPC&DEV_2004","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Lenovo Dispatcher","SYSTEM","Lenovo","3.2.0.26","2026-01-21","Lenovo","ACPI\VEN_IDEA&DEV_2011","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"Lenovo Fn and function keys","SYSTEM","Lenovo","2.1.2602.8","2026-03-05","Lenovo","ACPI\VEN_LHK&DEV_2019","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"PCI Express Root Port","SYSTEM","(Standard system devices)","10.0.26100.8737","2006-06-21","Microsoft","PCI\VEN_8086&DEV_7F3F&SUBSYS_3D6C17AA&REV_10","In-OS","Apple platform drivers (built into macOS)","","Chipset/platform device - the Mac has its own equivalent, driven in-OS.","no"
"PCI Express Root Port","SYSTEM","(Standard system devices)","10.0.26100.8737","2006-06-21","Microsoft","PCI\VEN_8086&DEV_7F34&SUBSYS_3D6C17AA&REV_10","In-OS","Apple platform drivers (built into macOS)","","Chipset/platform device - the Mac has its own equivalent, driven in-OS.","no"
"PCI Express Root Port","SYSTEM","(Standard system devices)","10.0.26100.8737","2006-06-21","Microsoft","PCI\VEN_8086&DEV_7EC4&SUBSYS_3D6C17AA&REV_10","In-OS","Apple platform drivers (built into macOS)","","Chipset/platform device - the Mac has its own equivalent, driven in-OS.","no"
"PCI Express Root Port","SYSTEM","(Standard system devices)","10.0.26100.8737","2006-06-21","Microsoft","PCI\VEN_8086&DEV_7ECC&SUBSYS_3D6C17AA&REV_10","In-OS","Apple platform drivers (built into macOS)","","Chipset/platform device - the Mac has its own equivalent, driven in-OS.","no"
"PCI Express Root Port","SYSTEM","(Standard system devices)","10.0.26100.8737","2006-06-21","Microsoft","PCI\VEN_8086&DEV_AE4D&SUBSYS_3D6C17AA&REV_10","In-OS","Apple platform drivers (built into macOS)","","Chipset/platform device - the Mac has its own equivalent, driven in-OS.","no"
"PCI Express Root Port","SYSTEM","(Standard system devices)","10.0.26100.8737","2006-06-21","Microsoft","PCI\VEN_8086&DEV_7F3E&SUBSYS_3D6C17AA&REV_10","In-OS","Apple platform drivers (built into macOS)","","Chipset/platform device - the Mac has its own equivalent, driven in-OS.","no"
"PCI standard host CPU bridge","SYSTEM","(Standard system devices)","10.0.26100.1150","2006-06-21","Microsoft","PCI\VEN_8086&DEV_7D1C&SUBSYS_3D6C17AA&REV_01","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"PCI standard ISA bridge","SYSTEM","(Standard system devices)","10.0.26100.1150","2006-06-21","Microsoft","PCI\VEN_8086&DEV_AE10&SUBSYS_3D6C17AA&REV_10","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"PCI standard RAM Controller","SYSTEM","(Standard system devices)","10.0.26100.1150","2006-06-21","Microsoft","PCI\VEN_8086&DEV_AE7F&SUBSYS_3D6C17AA&REV_10","In-OS","built into macOS","","Standard system device - the Mac equivalent is part of macOS.","no"
"USB Composite Device","USB","(Standard USB Host Controller)","10.0.26100.8737","2006-06-21","Microsoft","USB\VID_048D&PID_C193&REV_0010","In-OS","IOUSBHostFamily (built into macOS)","","USB controller/hub - driven in-OS.","no"
"USB Composite Device","USB","(Standard USB Host Controller)","10.0.26100.8737","2006-06-21","Microsoft","USB\VID_17EF&PID_F006&REV_0034","In-OS","IOUSBHostFamily (built into macOS)","","USB controller/hub - driven in-OS.","no"
"USB Composite Device","USB","(Standard USB Host Controller)","10.0.26100.8737","2006-06-21","Microsoft","USB\VID_046D&PID_C534&REV_2901","In-OS","IOUSBHostFamily (built into macOS)","","USB controller/hub - driven in-OS.","no"
"USB Composite Device","USB","(Standard USB Host Controller)","10.0.26100.8737","2006-06-21","Microsoft","USB\VID_30C9&PID_00F8&REV_0016","In-OS","IOUSBHostFamily (built into macOS)","","USB controller/hub - driven in-OS.","no"
"USB Root Hub (USB 3.0)","USB","(Standard USB HUBs)","10.0.26100.8737","2026-06-18","Microsoft","USB\ROOT_HUB30&VID8086&PID7EC0&REV0010","In-OS","IOUSBHostFamily (built into macOS)","","USB controller/hub - driven in-OS.","no"
"USB Root Hub (USB 3.0)","USB","(Standard USB HUBs)","10.0.26100.8737","2026-06-18","Microsoft","USB\ROOT_HUB30&VID8086&PID7F6E&REV0010","In-OS","IOUSBHostFamily (built into macOS)","","USB controller/hub - driven in-OS.","no"
"USB xHCI Compliant Host Controller","USB","Generic USB xHCI Host Controller","10.0.26100.8875","2026-07-10","Microsoft","PCI\VEN_8086&DEV_7EC0&SUBSYS_3D6C17AA&REV_10","In-OS","IOUSBHostFamily (built into macOS)","","USB controller/hub - driven in-OS.","no"
"USB xHCI Compliant Host Controller","USB","Generic USB xHCI Host Controller","10.0.26100.8875","2026-07-10","Microsoft","PCI\VEN_8086&DEV_7F6E&SUBSYS_3D6C17AA&REV_10","In-OS","IOUSBHostFamily (built into macOS)","","USB controller/hub - driven in-OS.","no"
"USB4(TM) Host Router (Microsoft)","USB","Generic USB4 Host Router","10.0.26100.8737","2026-06-18","Microsoft","PCI\USB4_MS_CM","In-OS","IOThunderboltFamily (built into macOS)","","USB4/Thunderbolt is native to every Mac - Apple invented Thunderbolt; nothing to install.","no"
"WinUsb Device","USBDEVICE","WinUsb Device","10.0.26100.8875","2006-06-21","Microsoft","USB\VID_17EF&PID_F006&REV_0034&MI_00","In-OS","IOUSBHostFamily (built into macOS)","","USB controller/hub - driven in-OS.","no"
"WinUsb Device","USBDEVICE","WinUsb Device","10.0.26100.8875","2006-06-21","Microsoft","USB\VID_30C9&PID_00F8&REV_0016&MI_02","In-OS","IOUSBHostFamily (built into macOS)","","USB controller/hub - driven in-OS.","no"
